"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","2","252","2203501178880","0","4091904","15632","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.140625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5920","Microsoft.Win32.SafeHandles.SafeProcessHandle","252","1624",".","0","","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15632","15632","4091904","4091904","286560","286560","8126464","8126464","28037120","28037120","241508352","2203559731200","True","Normal","4091904","4091904","00:00:00.1406250","ApplicationFrameHost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:51:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00","182956032","2203501178880","False",,,,"0","0",,
"bash","2","175","4927303680","143360","7495680","8648","C:\Program Files\Git\usr\bin\bash.exe",,"0.46875",,,,,"Process","8",,"False",,"5896","Microsoft.Win32.SafeHandles.SafeProcessHandle","175","1128",".","0","","System.Diagnostics.ProcessModule (bash.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8648","8648","7495680","7495680","120048","120048","7589888","7589888","10964992","10964992","640856064","4935823360","True","Normal","7495680","7495680","00:00:00.3281250","bash","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:40:13 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4687500","00:00:00.1406250","632336384","4927303680","False",,,,"143360","143360",,
"conhost","2","124","2203449749504","0","6668288","9776","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.171875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5996","Microsoft.Win32.SafeHandles.SafeProcessHandle","124","1596",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9776","9776","6668288","6668288","178760","178760","6729728","6729728","14938112","14938112","135720960","2203453943808","True","Normal","6668288","6668288","00:00:00.0937500","conhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:40:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0781250","131526656","2203449749504","False",,,,"0","0",,
"conhost","2","260","2203477876736","0","4378624","13584","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.921875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5460","Microsoft.Win32.SafeHandles.SafeProcessHandle","260","3132",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13584","13584","4378624","4378624","229648","229648","4464640","4464640","18849792","18849792","170389504","2203488612352","True","Normal","4378624","4378624","00:00:00.7187500","conhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 1:02:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9218750","00:00:00.2031250","159653888","2203477876736","False",,,,"0","0",,
"conhost","2","227","2203481333760","0","7307264","13448","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.0625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6032","Microsoft.Win32.SafeHandles.SafeProcessHandle","227","3532",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13448","13448","7307264","7307264","218864","218864","7426048","7426048","20570112","20570112","168353792","2203486576640","True","Normal","7307264","7307264","00:00:00.0468750","conhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/24/2023 12:05:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","163110912","2203481333760","False",,,,"0","0",,
"csrss","0","314","2203409412096","581632","1851392","13792",,,"1.765625",,,,,"Process","13",,,,,,"314","420",".","0","",,,,,"13792","13792","1851392","1851392","164072","164072","2076672","2076672","5292032","5292032","92966912","2203411189760",,,"1851392","1851392","00:00:01.4687500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7656250","00:00:00.2968750","91189248","2203409412096","False",,,,"581632","581632",,
"csrss","2","386","2203422961664","61440","1953792","23552",,,"14.09375",,,,,"Process","13",,,,,,"386","4856",".","0","",,,,,"23552","23552","1953792","1953792","218368","218368","2088960","2088960","5472256","5472256","113291264","2203431514112",,,"1953792","1953792","00:00:13.7500000","csrss",,"True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:14.0937500","00:00:00.3437500","104738816","2203422961664","False",,,,"61440","61440",,
"ctfmon","2","462","2203471745024","4898816","4673536","16768","C:\Windows\system32\ctfmon.exe","Microsoft Corporation","3.578125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"5984","Microsoft.Win32.SafeHandles.SafeProcessHandle","462","3492",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16768","16768","4673536","4673536","228816","228816","4759552","4759552","14630912","14630912","156274688","2203474497536","True","High","4673536","4673536","00:00:02.6406250","ctfmon","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.5781250","00:00:00.9375000","153522176","2203471745024","False",,,,"4898816","4898816",,
"dllhost","2","243","2203461152768","1662976","6586368","24744","C:\Windows\system32\DllHost.exe","Microsoft Corporation","1.828125","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"5728","Microsoft.Win32.SafeHandles.SafeProcessHandle","243","396",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24744","24744","6586368","6586368","167104","167104","8110080","8110080","24694784","24694784","148746240","2203466969088","True","Normal","6586368","6586368","00:00:01.1093750","dllhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:45 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8281250","00:00:00.7187500","142929920","2203461152768","False",,,,"1662976","1662976",,
"dllhost","2","253","2203454734336","0","3723264","17264","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.40625","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"6116","Microsoft.Win32.SafeHandles.SafeProcessHandle","253","796",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17264","17264","3723264","3723264","154792","154792","6758400","6758400","23404544","23404544","146702336","2203464925184","True","Normal","3723264","3723264","00:00:00.3281250","dllhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:51:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.0781250","136511488","2203454734336","False",,,,"0","0",,
